J1921,F3pSrEuCr,6200,,,,,,,,,
HD97127,F3pSrEu(Cr),6300,,,,,,,,,
HD213637,ApEuSrCr,6400,,,1.03,,3.6,1.6,,0.74,3.5
HD258048,F4pEuCr(Sr),6600,,,,,,,,,
HD101065,Controversial,6800,111.98,2.09,0.91,3.94,4.2,1.52,1.98,2.3,4
J1940,F2(pCr),6900,,,,9.58,,,,,
HD122970,F0,7000,115.34,2.94,0.82,3.88,4.2,1.5,1.8,0.22,4.2
HD99563,F0,7000,255.1,1.9,1.1,2.91,4.2,2.03,1.9,0.57,28
HD143487,A3SrEuCr,7000,,,,,5,,,4.7,1.5
HD151860,A2SrEu,7050,,,,0.083,4.5,,,2.5,4.5
HD119027,ApSrEu(Cr),7050,,3.04,0.67,,4.4,,,3.1,4
HD217522,Ap(Si)Cr,7100,88.03,2.77,0.85,8.55,4.2,1.49,1.86,1.7,2.7
J1430,A9pSrEu,7100,,,,,,,,,
HD203932,ApSrEu,7200,,2.65,,,4.3,,,0.267,4.7
HD154708,Ap,7200,148.15,2.39,0.73,5.37,4.11,1.5,1.7,24.5,4
HD185256,ApSr(EuCr),7250,,,,,4.3,,,0.71,6.2
HD24712,ApSrEu(Cr),7250,49.21,2.32,0.87,12.46,4.3,1.55,1.77,3.1,5.6
J0008,A9pSrEu(Cr),7300,,,,,,,,,
KIC010483436,Ap,7388,,,0.84,4.3,4.15,1.6,1.61,,20
HD176232,F0pSrEu,7400,78.37,2.55,1.32,,4.1,2,2.5,1.4,2.7
HD134214,ApSrEu(Cr),7400,102.67,2.6,0.88,248,4.05,1.6,1.8,2.7,2.6
KIC010195926,Ap,7400,,,1.5,5.68,3.6,1.7,3.6,5,21
J0651,F0p,7400,,,,,,,,,
J1640,A8pSrEu,7400,,,,3.67,,,,,
HD193756,ApSrCrEu,7500,,2.55,,,4.29,,,0.19,17
HD42659,ApSrCrEu,7500,131.58,2.38,1.48,,4.4,2.1,,0.39,19
HD84041,ApSrEuCr,7500,,2.38,,3.69,4.3,,,0.48,25
HD12098,F0,7500,,,,5.46,4.2,1.7,1.7,1.46,10
HD128898,ApSrEu(Cr),7500,16.57,1.9,1.04,4.48,4.2,1.7,1.9,1.5,13.5
HD190290,ApEuSr,7500,,2.49,,4.03,4.54,,,3.23,16
HD150562,A/F(pEu),7500,,2.68,,,4.4,,,5,1.5
HD92499,A2SrCrEu,7500,282.48,1.63,1.05,,4,1.68,,8.15,3.3
HD218994,A3Sr,7600,281.69,1.25,1.06,,4.1,,,0.44,5.2
HD116114,ApSrCrEu,7600,129.7,1.35,1.32,,4.1,2.07,,0.5,2.2
HD115226,A3pSr,7600,147.06,2.67,0.86,3.3,4,1.6,,0.75,27
HD69013,A2SrEu,7600,,,,,4.5,,,2.9,6
KIC008677585,A5p,7600,,,0.8,4.3,3.9,1.8,2.5,3.2,4.2
HD201601,F0p,7600,36.3,2.49,1.1,,4.2,1.74,2.16,3.8,2.5
HD12932,ApSrEuCr,7620,,2.55,,3.53,4.15,,,1.2,2.5
HD83368,A8pSrEuCr,7650,70.62,2.47,1.09,2.85,4.2,1.76,2,0.5,33
HD75445,SrEu,7650,108.34,1.96,1.17,2.08,4.32,1.81,,2.98,2
HD80316,ApSr(Eu),7700,137.93,2.26,1.11,2.08,4.58,1.7,1.53,0.18,32
HD137949,ApSrEuCr,7700,88.65,1.88,1.17,,4.3,1.78,2.6,4.7,3
HD166473,ApSrEuCr,7700,,2.52,1.24,,4.47,1.8,,8.5,2.5
HD225914,Ap,7726,,,,,,,,,
HD60435,ApSr(Eu),7800,226.76,1.54,1.14,7.68,4.4,1.82,,0.3,10.8
HD19918,ApSrEuCr,7800,245.7,2.34,1.06,,4.34,,,1.6,3
HD96237,A4SrEuCr,7800,653.59,,1.61,,4.3,,,2.9,6
HD132205,A2EuSrCr,7800,,,,,4.4,,,5.2,9.5
HD137909,F0p,7800,34.28,1.17,1.46,18.49,4.4,1.6,1.45,5.3,3.5
J0855,A6pSrEu,7800,,,,3.09,,,,,
HD196470,ApSrEu(Cr),7850,,2.52,,,4.37,,,1.48,
HD148593,A2Sr,7850,,,,,4.4,,,3,5
HD6532,ApSrCrEu,7900,162.87,2.2,1.22,1.94,4.3,,,0.22,30
HD86181,ApSr,7900,286.53,2.49,1.01,,,,,0.4,
HD161459,ApEuSrCr,7950,,2.47,,,4.38,,,1.76,
HD9289,ApSrEu,8000,,2.42,,8.55,4.15,,,0.65,10.5
HD218495,A2pEuSr,8000,,2.23,,,4.4,,,0.91,16
HD177765,A5SrEuCr,8000,,,1.5,,3.8,2.2,,3.6,2.5
HD24355,A5pSrEu,8250,,,,13.95,,,,,
KIC007582608,Ap,8700,,,1.21,20.45,4.3,2.37,1.77,3.05,
217522,,6520,,,0.78,,,,,700G,
15717,,6850,,,0.76,,,,,,
